GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
0100000US,,United States,53,Real estate and rental and leasing,001,All firms,2012,354106,487655249,100.0,85325956,20975180,1923770
0100000US,,United States,53,Real estate and rental and leasing,804,4 largest firms,2012,8876,29881493,6.1,4191606,982960,100047
0100000US,,United States,53,Real estate and rental and leasing,808,8 largest firms,2012,10621,46102771,9.5,5407114,1305989,123379
0100000US,,United States,53,Real estate and rental and leasing,820,20 largest firms,2012,21125,77157619,15.8,10626841,2673762,197281
0100000US,,United States,53,Real estate and rental and leasing,850,50 largest firms,2012,29691,121582153,24.9,15747004,4155937,273248
0100000US,,United States,531,Real estate,001,All firms,2012,295780,325338128,100.0,60945139,15055056,1402545
0100000US,,United States,531,Real estate,804,4 largest firms,2012,3819,14257592,4.4,3389503,878795,34439
0100000US,,United States,531,Real estate,808,8 largest firms,2012,5059,23420154,7.2,4131633,1073425,47510
0100000US,,United States,531,Real estate,820,20 largest firms,2012,9329,42365035,13.0,6234205,1769634,70154
0100000US,,United States,531,Real estate,850,50 largest firms,2012,12211,67343234,20.7,8842161,2519326,106164
0100000US,,United States,5311,Lessors of real estate,001,All firms,2012,124046,196559160,100.0,20767209,5419903,548697
0100000US,,United States,5311,Lessors of real estate,804,4 largest firms,2012,1050,11629887,5.9,608337,157131,12151
0100000US,,United States,5311,Lessors of real estate,808,8 largest firms,2012,1626,19475794,9.9,1104977,351201,18130
0100000US,,United States,5311,Lessors of real estate,820,20 largest firms,2012,4269,36580993,18.6,2373985,734787,34562
0100000US,,United States,5311,Lessors of real estate,850,50 largest firms,2012,6527,58619830,29.8,4064608,1233763,58247
0100000US,,United States,53111,Lessors of residential buildings and dwellings,001,All firms,2012,65701,85980113,100.0,10108008,2530814,311136
0100000US,,United States,53111,Lessors of residential buildings and dwellings,804,4 largest firms,2012,1022,7972107,9.3,574693,191946,8104
0100000US,,United States,53111,Lessors of residential buildings and dwellings,808,8 largest firms,2012,1710,12274237,14.3,1082848,318117,18104
0100000US,,United States,53111,Lessors of residential buildings and dwellings,820,20 largest firms,2012,2755,19374006,22.5,1667460,486896,29320
0100000US,,United States,53111,Lessors of residential buildings and dwellings,850,50 largest firms,2012,5488,27070057,31.5,2600948,723970,53188
0100000US,,United States,531110,Lessors of residential buildings and dwellings,001,All firms,2012,65701,85980113,100.0,10108008,2530814,311136
0100000US,,United States,531110,Lessors of residential buildings and dwellings,804,4 largest firms,2012,1022,7972107,9.3,574693,191946,8104
0100000US,,United States,531110,Lessors of residential buildings and dwellings,808,8 largest firms,2012,1710,12274237,14.3,1082848,318117,18104
0100000US,,United States,531110,Lessors of residential buildings and dwellings,820,20 largest firms,2012,2755,19374006,22.5,1667460,486896,29320
0100000US,,United States,531110,Lessors of residential buildings and dwellings,850,50 largest firms,2012,5488,27070057,31.5,2600948,723970,53188
0100000US,,United States,5311101,Lessors of apartment buildings,001,All firms,2012,50466,77328217,100.0,8876678,2237086,264059
0100000US,,United States,5311101,Lessors of apartment buildings,804,4 largest firms,2012,1002,7314025,9.5,551453,186912,7627
0100000US,,United States,5311101,Lessors of apartment buildings,808,8 largest firms,2012,1690,11616155,15.0,1059608,313083,17627
0100000US,,United States,5311101,Lessors of apartment buildings,820,20 largest firms,2012,2769,18642076,24.1,1635969,480136,28521
0100000US,,United States,5311101,Lessors of apartment buildings,850,50 largest firms,2012,5570,26031816,33.7,2568130,716678,52617
0100000US,,United States,5311109,Lessors of dwellings other than apartment buildings,001,All firms,2012,15235,8651896,100.0,1231330,293728,47077
0100000US,,United States,5311109,Lessors of dwellings other than apartment buildings,804,4 largest firms,2012,63,1404151,16.2,91007,23701,2596
0100000US,,United States,5311109,Lessors of dwellings other than apartment buildings,808,8 largest firms,2012,75,1586687,18.3,103240,26581,2910
0100000US,,United States,5311109,Lessors of dwellings other than apartment buildings,820,20 largest firms,2012,160,1840460,21.3,138364,35448,4004
0100000US,,United States,5311109,Lessors of dwellings other than apartment buildings,850,50 largest firms,2012,263,2171196,25.1,174977,44720,5068
0100000US,,United States,53112,Lessors of nonresidential buildings (except miniwarehouses),001,All firms,2012,34551,96132200,100.0,8909603,2469829,170381
0100000US,,United States,53112,Lessors of nonresidential buildings (except miniwarehouses),804,4 largest firms,2012,584,11034640,11.5,551412,154006,10001
0100000US,,United States,53112,Lessors of nonresidential buildings (except miniwarehouses),808,8 largest firms,2012,684,16946932,17.6,930039,295872,12661
0100000US,,United States,53112,Lessors of nonresidential buildings (except miniwarehouses),820,20 largest firms,2012,1095,29495986,30.7,1852830,572766,21148
0100000US,,United States,53112,Lessors of nonresidential buildings (except miniwarehouses),850,50 largest firms,2012,2109,44965648,46.8,2911895,932165,31271
0100000US,,United States,531120,Lessors of nonresidential buildings (except miniwarehouses),001,All firms,2012,34551,96132200,100.0,8909603,2469829,170381
0100000US,,United States,531120,Lessors of nonresidential buildings (except miniwarehouses),804,4 largest firms,2012,584,11034640,11.5,551412,154006,10001
0100000US,,United States,531120,Lessors of nonresidential buildings (except miniwarehouses),808,8 largest firms,2012,684,16946932,17.6,930039,295872,12661
0100000US,,United States,531120,Lessors of nonresidential buildings (except miniwarehouses),820,20 largest firms,2012,1095,29495986,30.7,1852830,572766,21148
0100000US,,United States,531120,Lessors of nonresidential buildings (except miniwarehouses),850,50 largest firms,2012,2109,44965648,46.8,2911895,932165,31271
0100000US,,United States,5311201,Lessors of professional and other office buildings,001,All firms,2012,14648,44628951,100.0,3848029,1039045,69431
0100000US,,United States,5311201,Lessors of professional and other office buildings,804,4 largest firms,2012,227,6946172,15.6,533389,142473,5912
0100000US,,United States,5311201,Lessors of professional and other office buildings,808,8 largest firms,2012,439,11060861,24.8,871897,235281,9258
0100000US,,United States,5311201,Lessors of professional and other office buildings,820,20 largest firms,2012,1118,17812059,39.9,1252343,350238,13419
0100000US,,United States,5311201,Lessors of professional and other office buildings,850,50 largest firms,2012,1229,24573797,55.1,1674706,481477,17826
0100000US,,United States,5311202,Lessors of manufacturing and industrial buildings,001,All firms,2012,3982,9937962,100.0,1077349,320838,15600
0100000US,,United States,5311202,Lessors of manufacturing and industrial buildings,804,4 largest firms,2012,61,3492360,35.1,241929,97245,1666
0100000US,,United States,5311202,Lessors of manufacturing and industrial buildings,808,8 largest firms,2012,74,4575617,46.0,325289,130243,2340
0100000US,,United States,5311202,Lessors of manufacturing and industrial buildings,820,20 largest firms,2012,101,5654915,56.9,418899,161663,2927
0100000US,,United States,5311202,Lessors of manufacturing and industrial buildings,850,50 largest firms,2012,168,6659986,67.0,555287,199359,4500
0100000US,,United States,5311203,Lessors of shopping centers and retail stores,001,All firms,2012,11087,33765158,100.0,3087726,866045,58994
0100000US,,United States,5311203,Lessors of shopping centers and retail stores,804,4 largest firms,2012,501,9083657,26.9,425833,128641,7580
0100000US,,United States,5311203,Lessors of shopping centers and retail stores,808,8 largest firms,2012,570,12383112,36.7,768432,239153,10339
0100000US,,United States,5311203,Lessors of shopping centers and retail stores,820,20 largest firms,2012,799,18589091,55.1,1137882,384675,13922
0100000US,,United States,5311203,Lessors of shopping centers and retail stores,850,50 largest firms,2012,900,21919160,64.9,1436464,470592,18703
0100000US,,United States,5311209,Lessors of other nonresidential buildings and facilities,001,All firms,2012,4834,7800129,100.0,896499,243901,26356
