GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Firm concentration code,Meaning of Firm concentration code,Year,Number of establishments,"Revenue ($1,000)","Sales, receipts, or revenue from concentration of largest firms as percent of total sales, receipts, or revenue (%)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12
0100000US,,United States,22,Utilities,001,All firms,2007,16578,584192658,100.0,51653618,15287321,637247
0100000US,,United States,22,Utilities,804,4 largest firms,2007,1008,73081465,12.5,6636379,2456202,66701
0100000US,,United States,22,Utilities,808,8 largest firms,2007,1421,129090160,22.1,12978831,4338519,137513
0100000US,,United States,22,Utilities,820,20 largest firms,2007,4172,259902516,44.5,25476358,7993750,278085
0100000US,,United States,22,Utilities,850,50 largest firms,2007,6920,409519753,70.1,37094937,11376496,418283
0100000US,,United States,221,Utilities,001,All firms,2007,16578,584192658,100.0,51653618,15287321,637247
0100000US,,United States,221,Utilities,804,4 largest firms,2007,1008,73081465,12.5,6636379,2456202,66701
0100000US,,United States,221,Utilities,808,8 largest firms,2007,1421,129090160,22.1,12978831,4338519,137513
0100000US,,United States,221,Utilities,820,20 largest firms,2007,4172,259902516,44.5,25476358,7993750,278085
0100000US,,United States,221,Utilities,850,50 largest firms,2007,6920,409519753,70.1,37094937,11376496,418283
0100000US,,United States,2211,"Electric power generation, transmission and distribution",001,All firms,2007,9554,445693484,100.0,43618314,13002243,511487
0100000US,,United States,2211,"Electric power generation, transmission and distribution",804,4 largest firms,2007,770,66671244,15.0,6784004,2484347,67129
0100000US,,United States,2211,"Electric power generation, transmission and distribution",808,8 largest firms,2007,1176,119303717,26.8,12534945,4135572,130510
0100000US,,United States,2211,"Electric power generation, transmission and distribution",820,20 largest firms,2007,3860,238954814,53.6,24006287,7461540,259388
0100000US,,United States,2211,"Electric power generation, transmission and distribution",850,50 largest firms,2007,5784,343709798,77.1,34701869,10659688,384056
0100000US,,United States,22111,Electric power generation,001,All firms,2007,1934,120967538,100.0,11297132,3256647,122793
0100000US,,United States,22111,Electric power generation,804,4 largest firms,2007,130,25495866,21.1,1854015,580106,17047
