GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Firm concentration code,Meaning of Firm concentration code,Year,Number of establishments,"Revenue ($1,000)","Sales, receipts, or revenue from concentration of largest firms as percent of total sales, receipts, or revenue (%)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12
0100000US,,United States,52,Finance and insurance,001,All firms,2007,501713,3669302691,100.0,502416670,169092708,6607511
0100000US,,United States,52,Finance and insurance,804,4 largest firms,2007,21044,353623400,9.6,43449617,18114947,553588
0100000US,,United States,52,Finance and insurance,808,8 largest firms,2007,31036,577477100,15.7,62592435,24379277,837327
0100000US,,United States,52,Finance and insurance,820,20 largest firms,2007,48237,1045618578,28.5,116350787,48430203,1286568
0100000US,,United States,52,Finance and insurance,850,50 largest firms,2007,67946,1687144915,46.0,181861014,73379154,1994426
0100000US,,United States,521,Monetary authorities - central bank,001,All firms,2007,47,44967000,100.0,1338898,328586,19062
0100000US,,United States,521,Monetary authorities - central bank,804,4 largest firms,2007,22,29376000,65.3,692488,167653,8709
0100000US,,United States,521,Monetary authorities - central bank,808,8 largest firms,2007,32,39289000,87.4,1032705,253158,13937
0100000US,,United States,521,Monetary authorities - central bank,820,20 largest firms,2007,47,44967000,100.0,1338898,328586,19062
0100000US,,United States,521,Monetary authorities - central bank,850,50 largest firms,2007,47,44967000,100.0,1338898,328586,19062
0100000US,,United States,5211,Monetary authorities - central bank,001,All firms,2007,47,44967000,100.0,1338898,328586,19062
0100000US,,United States,5211,Monetary authorities - central bank,804,4 largest firms,2007,22,29376000,65.3,692488,167653,8709
0100000US,,United States,5211,Monetary authorities - central bank,808,8 largest firms,2007,32,39289000,87.4,1032705,253158,13937
0100000US,,United States,5211,Monetary authorities - central bank,820,20 largest firms,2007,47,44967000,100.0,1338898,328586,19062
0100000US,,United States,5211,Monetary authorities - central bank,850,50 largest firms,2007,47,44967000,100.0,1338898,328586,19062
0100000US,,United States,52111,Monetary authorities - central bank,001,All firms,2007,47,44967000,100.0,1338898,328586,19062
0100000US,,United States,52111,Monetary authorities - central bank,804,4 largest firms,2007,22,29376000,65.3,692488,167653,8709
0100000US,,United States,52111,Monetary authorities - central bank,808,8 largest firms,2007,32,39289000,87.4,1032705,253158,13937
0100000US,,United States,52111,Monetary authorities - central bank,820,20 largest firms,2007,47,44967000,100.0,1338898,328586,19062
0100000US,,United States,52111,Monetary authorities - central bank,850,50 largest firms,2007,47,44967000,100.0,1338898,328586,19062
0100000US,,United States,521110,Monetary authorities - central bank,001,All firms,2007,47,44967000,100.0,1338898,328586,19062
0100000US,,United States,521110,Monetary authorities - central bank,804,4 largest firms,2007,22,29376000,65.3,692488,167653,8709
0100000US,,United States,521110,Monetary authorities - central bank,808,8 largest firms,2007,32,39289000,87.4,1032705,253158,13937
0100000US,,United States,521110,Monetary authorities - central bank,820,20 largest firms,2007,47,44967000,100.0,1338898,328586,19062
0100000US,,United States,521110,Monetary authorities - central bank,850,50 largest firms,2007,47,44967000,100.0,1338898,328586,19062
0100000US,,United States,522,Credit intermediation and related activities,001,All firms,2007,231439,1343342885,100.0,180904372,57578546,3280051
0100000US,,United States,522,Credit intermediation and related activities,804,4 largest firms,2007,17057,276946567,20.6,29831037,11906005,450730
0100000US,,United States,522,Credit intermediation and related activities,808,8 largest firms,2007,28102,421175597,31.4,45814725,17046408,733454
0100000US,,United States,522,Credit intermediation and related activities,820,20 largest firms,2007,49988,604398009,45.0,70068042,25057186,1128191
0100000US,,United States,522,Credit intermediation and related activities,850,50 largest firms,2007,61894,788478094,58.7,90981928,32580316,1396630
0100000US,,United States,5221,Depository credit intermediation,001,All firms,2007,125433,759781856,100.0,117552337,37885536,2143597
0100000US,,United States,5221,Depository credit intermediation,804,4 largest firms,2007,19520,201442996,26.5,30746177,11421347,503874
0100000US,,United States,5221,Depository credit intermediation,808,8 largest firms,2007,27787,260830284,34.3,41065902,15238575,674835
0100000US,,United States,5221,Depository credit intermediation,820,20 largest firms,2007,40058,364733367,48.0,56693441,20744155,908978
0100000US,,United States,5221,Depository credit intermediation,850,50 largest firms,2007,49895,471989934,62.1,68676219,24775864,1080532
0100000US,,United States,52211,Commercial banking,001,All firms,2007,91116,603316024,100.0,95807693,32095070,1643101
0100000US,,United States,52211,Commercial banking,804,4 largest firms,2007,19038,191640265,31.8,29690537,11169210,481897
0100000US,,United States,52211,Commercial banking,808,8 largest firms,2007,27015,241324774,40.0,39248936,14681629,640436
0100000US,,United States,52211,Commercial banking,820,20 largest firms,2007,37182,336798553,55.8,55141579,20599567,843851
0100000US,,United States,52211,Commercial banking,850,50 largest firms,2007,45322,426232984,70.6,64992290,23684753,996593
0100000US,,United States,522110,Commercial banking,001,All firms,2007,91116,603316024,100.0,95807693,32095070,1643101
0100000US,,United States,522110,Commercial banking,804,4 largest firms,2007,19038,191640265,31.8,29690537,11169210,481897
0100000US,,United States,522110,Commercial banking,808,8 largest firms,2007,27015,241324774,40.0,39248936,14681629,640436
0100000US,,United States,522110,Commercial banking,820,20 largest firms,2007,37182,336798553,55.8,55141579,20599567,843851
0100000US,,United States,522110,Commercial banking,850,50 largest firms,2007,45322,426232984,70.6,64992290,23684753,996593
0100000US,,United States,5221101,National commercial banks (banking),001,All firms,2007,46809,343878817,100.0,57455830,20090155,984613
0100000US,,United States,5221101,National commercial banks (banking),804,4 largest firms,2007,19028,191565530,55.7,29677478,11163915,481652
0100000US,,United States,5221101,National commercial banks (banking),808,8 largest firms,2007,24849,238062482,69.2,38775416,14519452,619720
0100000US,,United States,5221101,National commercial banks (banking),820,20 largest firms,2007,31467,287172262,83.5,46733175,17206881,752744
0100000US,,United States,5221101,National commercial banks (banking),850,50 largest firms,2007,36303,310471554,90.3,51137814,18433288,838613
0100000US,,United States,5221102,State commercial banks (banking),001,All firms,2007,44008,198647581,100.0,33670267,9708650,636814
0100000US,,United States,5221102,State commercial banks (banking),804,4 largest firms,2007,6083,38153315,19.2,6112098,1993938,99278
0100000US,,United States,5221102,State commercial banks (banking),808,8 largest firms,2007,7867,56999584,28.7,9096410,2968325,145201
0100000US,,United States,5221102,State commercial banks (banking),820,20 largest firms,2007,12687,85904500,43.2,13867842,4530115,209872
0100000US,,United States,5221102,State commercial banks (banking),850,50 largest firms,2007,17322,106733255,53.7,17479214,5573128,276280
0100000US,,United States,52212,Savings institutions,001,All firms,2007,16285,99922489,100.0,12375921,3407702,256634
0100000US,,United States,52212,Savings institutions,804,4 largest firms,2007,4365,41092614,41.1,4248327,1275976,86093
0100000US,,United States,52212,Savings institutions,808,8 largest firms,2007,5467,50887607,50.9,5025279,1510547,103075
0100000US,,United States,52212,Savings institutions,820,20 largest firms,2007,7236,63329119,63.4,6554945,1894642,130730
0100000US,,United States,52212,Savings institutions,850,50 largest firms,2007,9248,74322182,74.4,8045532,2307628,162684
0100000US,,United States,522120,Savings institutions,001,All firms,2007,16285,99922489,100.0,12375921,3407702,256634
0100000US,,United States,522120,Savings institutions,804,4 largest firms,2007,4365,41092614,41.1,4248327,1275976,86093
0100000US,,United States,522120,Savings institutions,808,8 largest firms,2007,5467,50887607,50.9,5025279,1510547,103075
0100000US,,United States,522120,Savings institutions,820,20 largest firms,2007,7236,63329119,63.4,6554945,1894642,130730
0100000US,,United States,522120,Savings institutions,850,50 largest firms,2007,9248,74322182,74.4,8045532,2307628,162684
0100000US,,United States,5221201,"Savings institutions, federally chartered",001,All firms,2007,11271,75744846,100.0,9062881,2517507,187980
0100000US,,United States,5221201,"Savings institutions, federally chartered",804,4 largest firms,2007,4365,41092614,54.3,4248327,1275976,86093
0100000US,,United States,5221201,"Savings institutions, federally chartered",808,8 largest firms,2007,4847,48308130,63.8,4769906,1424446,96725
0100000US,,United States,5221201,"Savings institutions, federally chartered",820,20 largest firms,2007,6429,56872127,75.1,6068054,1749978,123075
0100000US,,United States,5221201,"Savings institutions, federally chartered",850,50 largest firms,2007,7806,63900235,84.4,7005525,2001239,142774
0100000US,,United States,5221203,"Savings institutions, not federally chartered",001,All firms,2007,5010,D,100.0,D,D,l
0100000US,,United States,5221203,"Savings institutions, not federally chartered",804,4 largest firms,2007,1088,D,31.3,D,D,j
0100000US,,United States,5221203,"Savings institutions, not federally chartered",808,8 largest firms,2007,1275,D,41.6,D,D,j
0100000US,,United States,5221203,"Savings institutions, not federally chartered",820,20 largest firms,2007,2091,D,55.5,D,D,k
0100000US,,United States,5221203,"Savings institutions, not federally chartered",850,50 largest firms,2007,2800,D,69.2,D,D,k
0100000US,,United States,52213,Credit unions,001,All firms,2007,17992,D,100.0,D,D,m
0100000US,,United States,52213,Credit unions,804,4 largest firms,2007,413,D,10.1,D,D,j
0100000US,,United States,52213,Credit unions,808,8 largest firms,2007,492,D,14.3,D,D,j
0100000US,,United States,52213,Credit unions,820,20 largest firms,2007,974,D,20.9,D,D,j
0100000US,,United States,52213,Credit unions,850,50 largest firms,2007,1544,D,30.0,D,D,k
0100000US,,United States,522130,Credit unions,001,All firms,2007,17992,D,100.0,D,D,m
0100000US,,United States,522130,Credit unions,804,4 largest firms,2007,413,D,10.1,D,D,j
0100000US,,United States,522130,Credit unions,808,8 largest firms,2007,492,D,14.3,D,D,j
0100000US,,United States,522130,Credit unions,820,20 largest firms,2007,974,D,20.9,D,D,j
0100000US,,United States,522130,Credit unions,850,50 largest firms,2007,1544,D,30.0,D,D,k
0100000US,,United States,5221301,"Credit unions, federally chartered",001,All firms,2007,9938,30982851,100.0,4897431,1233634,130239
0100000US,,United States,5221301,"Credit unions, federally chartered",804,4 largest firms,2007,197,5325523,17.2,353825,96436,7385
0100000US,,United States,5221301,"Credit unions, federally chartered",808,8 largest firms,2007,357,7162140,23.1,497916,133040,11119
0100000US,,United States,5221301,"Credit unions, federally chartered",820,20 largest firms,2007,701,9890510,31.9,870138,227564,19196
0100000US,,United States,5221301,"Credit unions, federally chartered",850,50 largest firms,2007,1163,13735928,44.3,1384140,358064,31895
0100000US,,United States,5221309,"Credit unions, not federally chartered",001,All firms,2007,8054,D,100.0,D,D,m
0100000US,,United States,5221309,"Credit unions, not federally chartered",804,4 largest firms,2007,396,D,9.1,D,D,i
0100000US,,United States,5221309,"Credit unions, not federally chartered",808,8 largest firms,2007,489,D,13.4,D,D,j
0100000US,,United States,5221309,"Credit unions, not federally chartered",820,20 largest firms,2007,698,D,20.8,D,D,j
0100000US,,United States,5221309,"Credit unions, not federally chartered",850,50 largest firms,2007,1209,D,32.7,D,D,k
0100000US,,United States,52219,Other depository credit intermediation,001,All firms,2007,40,D,100.0,D,D,h
0100000US,,United States,52219,Other depository credit intermediation,804,4 largest firms,2007,6,D,91.5,D,D,g
0100000US,,United States,52219,Other depository credit intermediation,808,8 largest firms,2007,12,D,96.4,D,D,g
0100000US,,United States,52219,Other depository credit intermediation,820,20 largest firms,2007,24,D,99.8,D,D,h
0100000US,,United States,52219,Other depository credit intermediation,850,50 largest firms,2007,40,D,100.0,D,D,h
0100000US,,United States,522190,Other depository credit intermediation,001,All firms,2007,40,D,100.0,D,D,h
0100000US,,United States,522190,Other depository credit intermediation,804,4 largest firms,2007,6,D,91.5,D,D,g
0100000US,,United States,522190,Other depository credit intermediation,808,8 largest firms,2007,12,D,96.4,D,D,g
0100000US,,United States,522190,Other depository credit intermediation,820,20 largest firms,2007,24,D,99.8,D,D,h
0100000US,,United States,522190,Other depository credit intermediation,850,50 largest firms,2007,40,D,100.0,D,D,h
0100000US,,United States,5222,Nondepository credit intermediation,001,All firms,2007,54660,513274515,100.0,47390477,15306149,774337
0100000US,,United States,5222,Nondepository credit intermediation,804,4 largest firms,2007,3993,164042497,32.0,6436146,2413647,100471
0100000US,,United States,5222,Nondepository credit intermediation,808,8 largest firms,2007,8823,236516751,46.1,14292100,5045586,198493
0100000US,,United States,5222,Nondepository credit intermediation,820,20 largest firms,2007,12980,322124732,62.8,21670034,7465944,306469
0100000US,,United States,5222,Nondepository credit intermediation,850,50 largest firms,2007,16042,396583232,77.3,25345572,8615780,363941
0100000US,,United States,52221,Credit card issuing,001,All firms,2007,739,56595642,100.0,4195709,1445070,78780
0100000US,,United States,52221,Credit card issuing,804,4 largest firms,2007,534,44801506,79.2,2915512,1038073,46858
0100000US,,United States,52221,Credit card issuing,808,8 largest firms,2007,557,49470842,87.4,3430029,1216123,56372
0100000US,,United States,52221,Credit card issuing,820,20 largest firms,2007,605,54606862,96.5,3968733,1369579,74587
0100000US,,United States,52221,Credit card issuing,850,50 largest firms,2007,668,56502045,99.8,4162935,1438178,78147
0100000US,,United States,522210,Credit card issuing,001,All firms,2007,739,56595642,100.0,4195709,1445070,78780
0100000US,,United States,522210,Credit card issuing,804,4 largest firms,2007,534,44801506,79.2,2915512,1038073,46858
0100000US,,United States,522210,Credit card issuing,808,8 largest firms,2007,557,49470842,87.4,3430029,1216123,56372
0100000US,,United States,522210,Credit card issuing,820,20 largest firms,2007,605,54606862,96.5,3968733,1369579,74587
0100000US,,United States,522210,Credit card issuing,850,50 largest firms,2007,668,56502045,99.8,4162935,1438178,78147
0100000US,,United States,52222,Sales financing,001,All firms,2007,7065,125382035,100.0,9968988,3235378,123473
0100000US,,United States,52222,Sales financing,804,4 largest firms,2007,1996,52799475,42.1,3662420,1249334,40451
0100000US,,United States,52222,Sales financing,808,8 largest firms,2007,2088,72168317,57.6,4270567,1419456,48600
0100000US,,United States,52222,Sales financing,820,20 largest firms,2007,2930,93576986,74.6,6080112,2081773,69492
0100000US,,United States,52222,Sales financing,850,50 largest firms,2007,3680,109964142,87.7,7781594,2626348,89059
0100000US,,United States,522220,Sales financing,001,All firms,2007,7065,125382035,100.0,9968988,3235378,123473
0100000US,,United States,522220,Sales financing,804,4 largest firms,2007,1996,52799475,42.1,3662420,1249334,40451
0100000US,,United States,522220,Sales financing,808,8 largest firms,2007,2088,72168317,57.6,4270567,1419456,48600
0100000US,,United States,522220,Sales financing,820,20 largest firms,2007,2930,93576986,74.6,6080112,2081773,69492
0100000US,,United States,522220,Sales financing,850,50 largest firms,2007,3680,109964142,87.7,7781594,2626348,89059
0100000US,,United States,52229,Other nondepository credit intermediation,001,All firms,2007,46856,331296838,100.0,33225780,10625701,572084
0100000US,,United States,52229,Other nondepository credit intermediation,804,4 largest firms,2007,5479,144724033,43.7,7954457,2739445,115247
