GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Firm concentration code,Meaning of Firm concentration code,Year,Number of establishments,"Revenue ($1,000)","Sales, receipts, or revenue from concentration of largest firms as percent of total sales, receipts, or revenue (%)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12
0100000US,,United States,531120,Lessors of nonresidential buildings (except miniwarehouses),808,8 largest firms,2007,1456,21172679,21.0,1131149,414420,16538
0100000US,,United States,531120,Lessors of nonresidential buildings (except miniwarehouses),820,20 largest firms,2007,1671,32693541,32.5,1893775,687920,24491
0100000US,,United States,531120,Lessors of nonresidential buildings (except miniwarehouses),850,50 largest firms,2007,3025,47345337,47.1,3220045,1092264,39637
0100000US,,United States,5311201,Lessors of professional and other office buildings,001,All firms,2007,16382,48877736,100.0,4637913,1387371,78523
0100000US,,United States,5311201,Lessors of professional and other office buildings,804,4 largest firms,2007,756,9244907,18.9,570636,238925,6194
0100000US,,United States,5311201,Lessors of professional and other office buildings,808,8 largest firms,2007,805,13627755,27.9,887028,373750,8577
0100000US,,United States,5311201,Lessors of professional and other office buildings,820,20 largest firms,2007,1941,20097204,41.1,1649533,575764,18020
0100000US,,United States,5311201,Lessors of professional and other office buildings,850,50 largest firms,2007,2134,26958223,55.2,2164729,742780,22771
0100000US,,United States,5311202,Lessors of manufacturing and industrial buildings,001,All firms,2007,4245,9885693,100.0,1034364,331593,16266
0100000US,,United States,5311202,Lessors of manufacturing and industrial buildings,804,4 largest firms,2007,47,3700388,37.4,93943,37496,680
0100000US,,United States,5311202,Lessors of manufacturing and industrial buildings,808,8 largest firms,2007,52,4591261,46.4,283621,143160,1488
0100000US,,United States,5311202,Lessors of manufacturing and industrial buildings,820,20 largest firms,2007,82,5657388,57.2,384105,173936,2418
0100000US,,United States,5311202,Lessors of manufacturing and industrial buildings,850,50 largest firms,2007,160,6480708,65.6,482433,197407,3598
0100000US,,United States,5311203,Lessors of shopping centers and retail stores,001,All firms,2007,10228,34199510,100.0,2815452,795168,61392
0100000US,,United States,5311203,Lessors of shopping centers and retail stores,804,4 largest firms,2007,719,11268375,32.9,531371,160636,12316
0100000US,,United States,5311203,Lessors of shopping centers and retail stores,808,8 largest firms,2007,786,14577494,42.6,796561,249967,14507
0100000US,,United States,5311203,Lessors of shopping centers and retail stores,820,20 largest firms,2007,946,19298563,56.4,1121385,354865,18993
0100000US,,United States,5311203,Lessors of shopping centers and retail stores,850,50 largest firms,2007,1125,22720631,66.4,1348726,422435,22897
0100000US,,United States,5311209,Lessors of other nonresidential buildings and facilities,001,All firms,2007,4166,7651782,100.0,768907,206360,24359
0100000US,,United States,5311209,Lessors of other nonresidential buildings and facilities,804,4 largest firms,2007,4,2221193,29.0,79309,29935,205
0100000US,,United States,5311209,Lessors of other nonresidential buildings and facilities,808,8 largest firms,2007,8,3391705,44.3,123990,45390,353
0100000US,,United States,5311209,Lessors of other nonresidential buildings and facilities,820,20 largest firms,2007,33,4612729,60.3,175757,66761,798
0100000US,,United States,5311209,Lessors of other nonresidential buildings and facilities,850,50 largest firms,2007,82,5179488,67.7,268424,90139,2521
0100000US,,United States,53113,Lessors of miniwarehouses and self-storage units,001,All firms,2007,14168,6550186,100.0,825523,200337,38000
0100000US,,United States,53113,Lessors of miniwarehouses and self-storage units,804,4 largest firms,2007,3600,2250354,34.4,187314,49103,8386
0100000US,,United States,53113,Lessors of miniwarehouses and self-storage units,808,8 largest firms,2007,3710,2541620,38.8,214911,56874,9276
0100000US,,United States,53113,Lessors of miniwarehouses and self-storage units,820,20 largest firms,2007,4210,2814660,43.0,267047,67411,11423
0100000US,,United States,53113,Lessors of miniwarehouses and self-storage units,850,50 largest firms,2007,4422,3069366,46.9,300673,75275,12466
0100000US,,United States,531130,Lessors of miniwarehouses and self-storage units,001,All firms,2007,14168,6550186,100.0,825523,200337,38000
0100000US,,United States,531130,Lessors of miniwarehouses and self-storage units,804,4 largest firms,2007,3600,2250354,34.4,187314,49103,8386
0100000US,,United States,531130,Lessors of miniwarehouses and self-storage units,808,8 largest firms,2007,3710,2541620,38.8,214911,56874,9276
0100000US,,United States,531130,Lessors of miniwarehouses and self-storage units,820,20 largest firms,2007,4210,2814660,43.0,267047,67411,11423
0100000US,,United States,531130,Lessors of miniwarehouses and self-storage units,850,50 largest firms,2007,4422,3069366,46.9,300673,75275,12466
0100000US,,United States,53119,Lessors of other real estate property,001,All firms,2007,9231,6106411,100.0,813380,197077,33146
0100000US,,United States,53119,Lessors of other real estate property,804,4 largest firms,2007,472,913581,15.0,83790,23503,4204
0100000US,,United States,53119,Lessors of other real estate property,808,8 largest firms,2007,552,1133962,18.6,97040,26746,4589
0100000US,,United States,53119,Lessors of other real estate property,820,20 largest firms,2007,744,1456983,23.9,138814,36371,5997
0100000US,,United States,53119,Lessors of other real estate property,850,50 largest firms,2007,864,1812006,29.7,170316,46712,7199
0100000US,,United States,531190,Lessors of other real estate property,001,All firms,2007,9231,6106411,100.0,813380,197077,33146
0100000US,,United States,531190,Lessors of other real estate property,804,4 largest firms,2007,472,913581,15.0,83790,23503,4204
0100000US,,United States,531190,Lessors of other real estate property,808,8 largest firms,2007,552,1133962,18.6,97040,26746,4589
0100000US,,United States,531190,Lessors of other real estate property,820,20 largest firms,2007,744,1456983,23.9,138814,36371,5997
0100000US,,United States,531190,Lessors of other real estate property,850,50 largest firms,2007,864,1812006,29.7,170316,46712,7199
0100000US,,United States,5311901,Lessors of manufactured (mobile) home sites,001,All firms,2007,6921,4774795,100.0,568738,137201,25375
0100000US,,United States,5311901,Lessors of manufactured (mobile) home sites,804,4 largest firms,2007,471,912888,19.1,83726,23486,4201
0100000US,,United States,5311901,Lessors of manufactured (mobile) home sites,808,8 largest firms,2007,594,1106059,23.2,100064,27585,4868
0100000US,,United States,5311901,Lessors of manufactured (mobile) home sites,820,20 largest firms,2007,759,1338134,28.0,128802,34430,6106
0100000US,,United States,5311901,Lessors of manufactured (mobile) home sites,850,50 largest firms,2007,895,1594050,33.4,147172,38787,6864
0100000US,,United States,5311902,Lessors of railroad property,804,4 largest firms,2007,4,3275,90.2,327,85,10
0100000US,,United States,5311902,Lessors of railroad property,808,8 largest firms,2007,8,3564,98.2,402,97,11
0100000US,,United States,5311902,Lessors of railroad property,820,20 largest firms,2007,11,3631,100.0,436,122,14
0100000US,,United States,5311902,Lessors of railroad property,850,50 largest firms,2007,11,3631,100.0,436,122,14
0100000US,,United States,5311909,Lessors of other real estate property,001,All firms,2007,2299,1327985,100.0,244206,59754,7757
0100000US,,United States,5311909,Lessors of other real estate property,804,4 largest firms,2007,7,181116,13.6,14402,3116,113
