GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
0100000US,,United States,61,Educational services,A,All establishments,001,All firms,2007,61385,44980656,100.0,14259109,3417225,539951
0100000US,,United States,61,Educational services,A,All establishments,804,4 largest firms,2007,619,2988335,6.6,808970,195106,20287
0100000US,,United States,61,Educational services,A,All establishments,808,8 largest firms,2007,643,4453780,9.9,1006605,242063,22971
0100000US,,United States,61,Educational services,A,All establishments,820,20 largest firms,2007,1163,6883508,15.3,1648750,406199,41550
0100000US,,United States,61,Educational services,A,All establishments,850,50 largest firms,2007,1674,10043403,22.3,2578930,638203,64079
0100000US,,United States,61,Educational services,T,Establishments subject to federal income tax,001,All firms,2007,49790,32510659,100.0,10571549,2519056,407504
0100000US,,United States,61,Educational services,T,Establishments subject to federal income tax,804,4 largest firms,2007,611,2585574,8.0,582561,144185,15963
0100000US,,United States,61,Educational services,T,Establishments subject to federal income tax,808,8 largest firms,2007,1064,3534042,10.9,887001,228991,28997
0100000US,,United States,61,Educational services,T,Establishments subject to federal income tax,820,20 largest firms,2007,1338,5242097,16.1,1450196,367199,38808
0100000US,,United States,61,Educational services,T,Establishments subject to federal income tax,850,50 largest firms,2007,1868,7649549,23.5,2179008,538503,58532
0100000US,,United States,61,Educational services,Y,Establishments exempt from federal income tax,001,All firms,2007,11595,12469997,100.0,3687560,898169,132447
0100000US,,United States,61,Educational services,Y,Establishments exempt from federal income tax,804,4 largest firms,2007,30,1792777,14.4,413372,97858,7007
0100000US,,United States,61,Educational services,Y,Establishments exempt from federal income tax,808,8 largest firms,2007,49,2594461,20.8,550824,131983,9729
0100000US,,United States,61,Educational services,Y,Establishments exempt from federal income tax,820,20 largest firms,2007,120,3607073,28.9,746084,182794,12864
0100000US,,United States,61,Educational services,Y,Establishments exempt from federal income tax,850,50 largest firms,2007,250,4647772,37.3,1007209,247366,18552
0100000US,,United States,611,Educational services,A,All establishments,001,All firms,2007,61385,44980656,100.0,14259109,3417225,539951
0100000US,,United States,611,Educational services,A,All establishments,804,4 largest firms,2007,619,2988335,6.6,808970,195106,20287
0100000US,,United States,611,Educational services,A,All establishments,808,8 largest firms,2007,643,4453780,9.9,1006605,242063,22971
0100000US,,United States,611,Educational services,A,All establishments,820,20 largest firms,2007,1163,6883508,15.3,1648750,406199,41550
0100000US,,United States,611,Educational services,A,All establishments,850,50 largest firms,2007,1674,10043403,22.3,2578930,638203,64079
0100000US,,United States,611,Educational services,T,Establishments subject to federal income tax,001,All firms,2007,49790,32510659,100.0,10571549,2519056,407504
0100000US,,United States,611,Educational services,T,Establishments subject to federal income tax,804,4 largest firms,2007,611,2585574,8.0,582561,144185,15963
0100000US,,United States,611,Educational services,T,Establishments subject to federal income tax,808,8 largest firms,2007,1064,3534042,10.9,887001,228991,28997
0100000US,,United States,611,Educational services,T,Establishments subject to federal income tax,820,20 largest firms,2007,1338,5242097,16.1,1450196,367199,38808
0100000US,,United States,611,Educational services,T,Establishments subject to federal income tax,850,50 largest firms,2007,1868,7649549,23.5,2179008,538503,58532
0100000US,,United States,611,Educational services,Y,Establishments exempt from federal income tax,001,All firms,2007,11595,12469997,100.0,3687560,898169,132447
0100000US,,United States,611,Educational services,Y,Establishments exempt from federal income tax,804,4 largest firms,2007,30,1792777,14.4,413372,97858,7007
0100000US,,United States,611,Educational services,Y,Establishments exempt from federal income tax,808,8 largest firms,2007,49,2594461,20.8,550824,131983,9729
0100000US,,United States,611,Educational services,Y,Establishments exempt from federal income tax,820,20 largest firms,2007,120,3607073,28.9,746084,182794,12864
