GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
0100000US,,United States,42,Wholesale trade,00,Wholesale Trade,001,All firms,2007,434983,6515708554,100.0,336206776,83369206,6227389
0100000US,,United States,42,Wholesale trade,00,Wholesale Trade,804,4 largest firms,2007,517,361162924,5.5,1650800,427777,30248
0100000US,,United States,42,Wholesale trade,00,Wholesale Trade,808,8 largest firms,2007,701,627417345,9.6,3377613,879162,72208
0100000US,,United States,42,Wholesale trade,00,Wholesale Trade,820,20 largest firms,2007,2008,1080895207,16.6,12490299,3173291,207288
0100000US,,United States,42,Wholesale trade,00,Wholesale Trade,850,50 largest firms,2007,6391,1621535619,24.9,25800832,6753588,405584
0100000US,,United States,423,"Merchant wholesalers, durable goods",00,Wholesale Trade,001,All firms,2007,254975,2898091632,100.0,206819191,51288567,3618805
0100000US,,United States,423,"Merchant wholesalers, durable goods",00,Wholesale Trade,804,4 largest firms,2007,145,301397195,10.4,1797091,483398,19468
0100000US,,United States,423,"Merchant wholesalers, durable goods",00,Wholesale Trade,808,8 largest firms,2007,577,437056644,15.1,6038660,1498584,61610
0100000US,,United States,423,"Merchant wholesalers, durable goods",00,Wholesale Trade,820,20 largest firms,2007,3975,602994334,20.8,13547018,3375598,153363
0100000US,,United States,423,"Merchant wholesalers, durable goods",00,Wholesale Trade,850,50 largest firms,2007,6550,839548435,29.0,26560376,6829100,327489
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,00,Wholesale Trade,001,All firms,2007,26905,670929730,100.0,17520941,4351037,393094
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2007,145,301397195,44.9,1797091,483398,19468
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2007,228,398512028,59.4,2292288,607434,26275
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2007,557,470155462,70.1,3116800,819667,42602
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2007,1612,514422185,76.7,4917584,1284161,77065
0100000US,,United States,42311,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,001,All firms,2007,7273,486934997,100.0,6774266,1688741,130015
0100000US,,United States,42311,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2007,82,260552364,53.5,882480,238612,8458
0100000US,,United States,42311,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2007,129,340676460,70.0,1223256,323851,12415
0100000US,,United States,42311,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2007,184,404023274,83.0,1708347,443917,18632
0100000US,,United States,42311,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2007,411,426629526,87.6,2517925,654511,32098
0100000US,,United States,423110,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,001,All firms,2007,7273,486934997,100.0,6774266,1688741,130015
0100000US,,United States,423110,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2007,82,260552364,53.5,882480,238612,8458
0100000US,,United States,423110,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2007,129,340676460,70.0,1223256,323851,12415
0100000US,,United States,423110,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2007,184,404023274,83.0,1708347,443917,18632
0100000US,,United States,423110,Automobile and other motor vehicle merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2007,411,426629526,87.6,2517925,654511,32098
0100000US,,United States,4231101,Automobile and motorcycle merchant wholesalers,00,Wholesale Trade,001,All firms,2007,3794,402864090,100.0,2702624,670950,45021
0100000US,,United States,4231101,Automobile and motorcycle merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2007,81,242215720,60.1,861162,233192,8256
0100000US,,United States,4231101,Automobile and motorcycle merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2007,102,320834510,79.6,1172554,310146,11599
0100000US,,United States,4231101,Automobile and motorcycle merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2007,154,377111625,93.6,1607089,414552,17150
0100000US,,United States,4231101,Automobile and motorcycle merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2007,190,384731386,95.5,1749085,444511,19200
0100000US,,United States,4231102,Bus and recreational vehicle merchant wholesalers,00,Wholesale Trade,001,All firms,2007,344,8785900,100.0,356277,91331,7212
0100000US,,United States,4231102,Bus and recreational vehicle merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2007,12,4816127,54.8,100711,32287,1553
0100000US,,United States,4231102,Bus and recreational vehicle merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2007,24,5652954,64.3,141351,42194,2246
0100000US,,United States,4231102,Bus and recreational vehicle merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2007,40,6449515,73.4,186828,51828,3051
0100000US,,United States,4231102,Bus and recreational vehicle merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2007,77,7476407,85.1,245155,64584,4278
0100000US,,United States,4231103,"Light truck and van (14,000 lb or less) merchant wholesalers",00,Wholesale Trade,001,All firms,2007,356,27728977,100.0,268784,64323,5824
0100000US,,United States,4231103,"Light truck and van (14,000 lb or less) merchant wholesalers",00,Wholesale Trade,804,4 largest firms,2007,4,D,D,D,D,g
0100000US,,United States,4231103,"Light truck and van (14,000 lb or less) merchant wholesalers",00,Wholesale Trade,808,8 largest firms,2007,8,25111577,90.6,90775,20047,1595
0100000US,,United States,4231103,"Light truck and van (14,000 lb or less) merchant wholesalers",00,Wholesale Trade,820,20 largest firms,2007,25,25636726,92.5,132940,30350,2534
0100000US,,United States,4231103,"Light truck and van (14,000 lb or less) merchant wholesalers",00,Wholesale Trade,850,50 largest firms,2007,60,26465428,95.4,186897,43752,3729
0100000US,,United States,4231104,"Medium truck and tractor (14,001 lb to 33,000 lb) merchant wholesalers",00,Wholesale Trade,001,All firms,2007,408,6357141,100.0,439204,110509,9326
0100000US,,United States,4231104,"Medium truck and tractor (14,001 lb to 33,000 lb) merchant wholesalers",00,Wholesale Trade,804,4 largest firms,2007,22,1882612,29.6,71654,19054,1197
0100000US,,United States,4231104,"Medium truck and tractor (14,001 lb to 33,000 lb) merchant wholesalers",00,Wholesale Trade,808,8 largest firms,2007,31,2773000,43.6,99894,25500,1636
0100000US,,United States,4231104,"Medium truck and tractor (14,001 lb to 33,000 lb) merchant wholesalers",00,Wholesale Trade,820,20 largest firms,2007,50,3723728,58.6,159907,41916,2962
0100000US,,United States,4231104,"Medium truck and tractor (14,001 lb to 33,000 lb) merchant wholesalers",00,Wholesale Trade,850,50 largest firms,2007,92,4835789,76.1,270618,69800,5268
0100000US,,United States,4231105,"Heavy truck and tractor (over 33,000 lb) merchant wholesalers",00,Wholesale Trade,001,All firms,2007,2371,41198889,100.0,3007377,751628,62632
0100000US,,United States,4231105,"Heavy truck and tractor (over 33,000 lb) merchant wholesalers",00,Wholesale Trade,804,4 largest firms,2007,69,8402651,20.4,249515,66014,3692
0100000US,,United States,4231105,"Heavy truck and tractor (over 33,000 lb) merchant wholesalers",00,Wholesale Trade,808,8 largest firms,2007,150,11293151,27.4,401803,108063,6818
0100000US,,United States,4231105,"Heavy truck and tractor (over 33,000 lb) merchant wholesalers",00,Wholesale Trade,820,20 largest firms,2007,219,15019658,36.5,678923,177969,11758
0100000US,,United States,4231105,"Heavy truck and tractor (over 33,000 lb) merchant wholesalers",00,Wholesale Trade,850,50 largest firms,2007,383,19954577,48.4,1089193,280336,20045
0100000US,,United States,42312,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,001,All firms,2007,15182,154998888,100.0,8831525,2195516,214127
0100000US,,United States,42312,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2007,57,48519065,31.3,754868,205951,9310
0100000US,,United States,42312,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2007,336,63206840,40.8,1453720,387120,23538
0100000US,,United States,42312,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2007,585,78924724,50.9,1883744,491132,32665
0100000US,,United States,42312,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2007,1109,96736615,62.4,2693209,703992,49620
0100000US,,United States,423120,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,001,All firms,2007,15182,154998888,100.0,8831525,2195516,214127
0100000US,,United States,423120,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2007,57,48519065,31.3,754868,205951,9310
0100000US,,United States,423120,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2007,336,63206840,40.8,1453720,387120,23538
0100000US,,United States,423120,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2007,585,78924724,50.9,1883744,491132,32665
0100000US,,United States,423120,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2007,1109,96736615,62.4,2693209,703992,49620
0100000US,,United States,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,00,Wholesale Trade,001,All firms,2007,5737,74768477,100.0,3315872,817439,84397
0100000US,,United States,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,00,Wholesale Trade,804,4 largest firms,2007,171,30157629,40.3,359402,97156,8697
0100000US,,United States,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,00,Wholesale Trade,808,8 largest firms,2007,262,34874651,46.6,536428,140227,13146
0100000US,,United States,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,00,Wholesale Trade,820,20 largest firms,2007,290,43410858,58.1,797046,205654,17114
0100000US,,United States,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,00,Wholesale Trade,850,50 largest firms,2007,667,53302790,71.3,1195965,302387,26844
0100000US,,United States,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,00,Wholesale Trade,001,All firms,2007,9065,78736756,100.0,5314397,1329091,125254
0100000US,,United States,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,00,Wholesale Trade,804,4 largest firms,2007,62,27129300,34.5,814382,217965,9766
0100000US,,United States,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,00,Wholesale Trade,808,8 largest firms,2007,88,35473495,45.1,1079992,283661,13654
0100000US,,United States,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,00,Wholesale Trade,820,20 largest firms,2007,399,43831834,55.7,1396757,361843,20613
0100000US,,United States,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,00,Wholesale Trade,850,50 largest firms,2007,1089,52392602,66.5,1958837,513118,34075
0100000US,,United States,4231203,Petroleum products marketing equipment merchant wholesalers,00,Wholesale Trade,001,All firms,2007,380,1493655,100.0,201256,48986,4476
0100000US,,United States,4231203,Petroleum products marketing equipment merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2007,23,281745,18.9,27180,7114,598
0100000US,,United States,4231203,Petroleum products marketing equipment merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2007,38,453656,30.4,37679,9646,815
0100000US,,United States,4231203,Petroleum products marketing equipment merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2007,74,729019,48.8,76070,18294,1611
