GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
0100000US,,United States,4231103,"Light truck and van (14,000 lb or less) merchant wholesalers",00,Wholesale Trade,804,4 largest firms,2012,5,7204360,71.5,64692,23315,494
0100000US,,United States,4231103,"Light truck and van (14,000 lb or less) merchant wholesalers",00,Wholesale Trade,808,8 largest firms,2012,9,7638255,75.8,82764,27741,810
0100000US,,United States,4231103,"Light truck and van (14,000 lb or less) merchant wholesalers",00,Wholesale Trade,820,20 largest firms,2012,25,8239897,81.7,127085,38884,1670
0100000US,,United States,4231103,"Light truck and van (14,000 lb or less) merchant wholesalers",00,Wholesale Trade,850,50 largest firms,2012,59,9051958,89.8,181293,52453,2772
0100000US,,United States,4231104,"Medium truck and tractor (14,001 lb to 33,000 lb) merchant wholesalers",00,Wholesale Trade,001,All firms,2012,352,6150726,100.0,405339,96417,7636
0100000US,,United States,4231104,"Medium truck and tractor (14,001 lb to 33,000 lb) merchant wholesalers",00,Wholesale Trade,804,4 largest firms,2012,23,2494298,40.6,83300,21908,1154
0100000US,,United States,4231104,"Medium truck and tractor (14,001 lb to 33,000 lb) merchant wholesalers",00,Wholesale Trade,808,8 largest firms,2012,36,3150973,51.2,118914,29800,1879
0100000US,,United States,4231104,"Medium truck and tractor (14,001 lb to 33,000 lb) merchant wholesalers",00,Wholesale Trade,820,20 largest firms,2012,55,4069113,66.2,190185,45901,3233
0100000US,,United States,4231104,"Medium truck and tractor (14,001 lb to 33,000 lb) merchant wholesalers",00,Wholesale Trade,850,50 largest firms,2012,101,4981399,81.0,271970,64722,4720
0100000US,,United States,4231105,"Heavy truck and tractor (over 33,000 lb) merchant wholesalers",00,Wholesale Trade,001,All firms,2012,2185,59043545,100.0,3391233,854364,58650
0100000US,,United States,4231105,"Heavy truck and tractor (over 33,000 lb) merchant wholesalers",00,Wholesale Trade,804,4 largest firms,2012,65,19299575,32.7,474856,138715,3516
0100000US,,United States,4231105,"Heavy truck and tractor (over 33,000 lb) merchant wholesalers",00,Wholesale Trade,808,8 largest firms,2012,171,24851053,42.1,784892,224671,8320
0100000US,,United States,4231105,"Heavy truck and tractor (over 33,000 lb) merchant wholesalers",00,Wholesale Trade,820,20 largest firms,2012,265,30186155,51.1,1109277,303179,14262
0100000US,,United States,4231105,"Heavy truck and tractor (over 33,000 lb) merchant wholesalers",00,Wholesale Trade,850,50 largest firms,2012,409,36726001,62.2,1548517,409564,22090
0100000US,,United States,42312,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,001,All firms,2012,14158,151223677,100.0,9144658,2244182,200008
0100000US,,United States,42312,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2012,57,29377714,19.4,542005,137803,6694
0100000US,,United States,42312,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2012,355,42936024,28.4,1014289,259678,15645
0100000US,,United States,42312,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2012,801,63572619,42.0,1881962,477113,32389
0100000US,,United States,42312,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2012,1520,85159821,56.3,2769699,691297,48785
0100000US,,United States,423120,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,001,All firms,2012,14158,151223677,100.0,9144658,2244182,200008
0100000US,,United States,423120,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,804,4 largest firms,2012,57,29377714,19.4,542005,137803,6694
0100000US,,United States,423120,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,808,8 largest firms,2012,355,42936024,28.4,1014289,259678,15645
0100000US,,United States,423120,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,820,20 largest firms,2012,801,63572619,42.0,1881962,477113,32389
0100000US,,United States,423120,Motor vehicle supplies and new parts merchant wholesalers,00,Wholesale Trade,850,50 largest firms,2012,1520,85159821,56.3,2769699,691297,48785
0100000US,,United States,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,00,Wholesale Trade,001,All firms,2012,5361,70901987,100.0,3627529,880889,78276
0100000US,,United States,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,00,Wholesale Trade,804,4 largest firms,2012,252,21110511,29.8,384716,105636,7557
