GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
0100000US,,United States,,221116,Geothermal electric power generation,,820,20 largest firms,2012,45,981196,100.0,124469,33838,1235
0100000US,,United States,,221116,Geothermal electric power generation,,850,50 largest firms,2012,45,981196,100.0,124469,33838,1235
0100000US,,United States,,221117,Biomass electric power generation,,001,All firms,2012,107,721459,100.0,105686,28878,1424
0100000US,,United States,,221117,Biomass electric power generation,,804,4 largest firms,2012,25,270300,37.5,24997,7959,318
0100000US,,United States,,221117,Biomass electric power generation,,808,8 largest firms,2012,32,407950,56.5,43243,12666,515
0100000US,,United States,,221117,Biomass electric power generation,,820,20 largest firms,2012,53,608558,84.4,78165,22193,1049
0100000US,,United States,,221117,Biomass electric power generation,,850,50 largest firms,2012,89,718409,99.6,102533,28102,1359
0100000US,,United States,,221118,Other electric power generation,,001,All firms,2012,18,43365,100.0,18567,5113,224
0100000US,,United States,,221118,Other electric power generation,,804,4 largest firms,2012,6,39878,92.0,11231,3549,123
0100000US,,United States,,221118,Other electric power generation,,808,8 largest firms,2012,10,42468,97.9,11910,3721,131
0100000US,,United States,,221118,Other electric power generation,,820,20 largest firms,2012,18,43365,100.0,18567,5113,224
0100000US,,United States,,221118,Other electric power generation,,850,50 largest firms,2012,18,43365,100.0,18567,5113,224
0100000US,,United States,,22112,"Electric power transmission, control, and distribution",,001,All firms,2012,7652,310053798,100.0,35089693,10517592,375309
0100000US,,United States,,22112,"Electric power transmission, control, and distribution",,804,4 largest firms,2012,1249,62130258,20.0,8170077,2640452,73024
0100000US,,United States,,22112,"Electric power transmission, control, and distribution",,808,8 largest firms,2012,2128,104282043,33.6,13777142,4388588,131733
0100000US,,United States,,22112,"Electric power transmission, control, and distribution",,820,20 largest firms,2012,4106,182291501,58.8,21990830,6760389,215869
0100000US,,United States,,22112,"Electric power transmission, control, and distribution",,850,50 largest firms,2012,5239,243245454,78.5,29024903,8896852,293680
0100000US,,United States,,221121,Electric bulk power transmission and control,,001,All firms,2012,250,9959166,100.0,1407906,402502,12465
0100000US,,United States,,221121,Electric bulk power transmission and control,,804,4 largest firms,2012,95,3935033,39.5,583264,146786,4794
0100000US,,United States,,221121,Electric bulk power transmission and control,,808,8 largest firms,2012,121,6211608,62.4,697321,181821,6000
0100000US,,United States,,221121,Electric bulk power transmission and control,,820,20 largest firms,2012,155,8663922,87.0,1212256,346258,10497
0100000US,,United States,,221121,Electric bulk power transmission and control,,850,50 largest firms,2012,235,9951656,99.9,1401826,401745,12425
0100000US,,United States,,221122,Electric power distribution,,001,All firms,2012,7402,300094632,100.0,33681787,10115090,362844
0100000US,,United States,,221122,Electric power distribution,,804,4 largest firms,2012,1183,60414782,20.1,7803029,2538862,69750
0100000US,,United States,,221122,Electric power distribution,,808,8 largest firms,2012,1914,101594667,33.9,13271345,4233370,126216
0100000US,,United States,,221122,Electric power distribution,,820,20 largest firms,2012,3955,177281629,59.1,21479815,6618888,210790
0100000US,,United States,,221122,Electric power distribution,,850,50 largest firms,2012,5062,237610890,79.2,28455188,8739233,287970
0100000US,,United States,,2212,Natural gas distribution,,001,All firms,2012,2419,89568130,100.0,6681677,1875780,83937
0100000US,,United States,,2212,Natural gas distribution,,804,4 largest firms,2012,383,17950484,20.0,1719227,524508,19371
0100000US,,United States,,2212,Natural gas distribution,,808,8 largest firms,2012,713,29858597,33.3,2736458,777048,31546
0100000US,,United States,,2212,Natural gas distribution,,820,20 largest firms,2012,1059,52641830,58.8,3835506,1085433,45197
0100000US,,United States,,2212,Natural gas distribution,,850,50 largest firms,2012,1689,78767058,87.9,5796858,1639046,71324
0100000US,,United States,,22121,Natural gas distribution,,001,All firms,2012,2419,89568130,100.0,6681677,1875780,83937
0100000US,,United States,,22121,Natural gas distribution,,804,4 largest firms,2012,383,17950484,20.0,1719227,524508,19371
0100000US,,United States,,22121,Natural gas distribution,,808,8 largest firms,2012,713,29858597,33.3,2736458,777048,31546
0100000US,,United States,,22121,Natural gas distribution,,820,20 largest firms,2012,1059,52641830,58.8,3835506,1085433,45197
0100000US,,United States,,22121,Natural gas distribution,,850,50 largest firms,2012,1689,78767058,87.9,5796858,1639046,71324
0100000US,,United States,,221210,Natural gas distribution,,001,All firms,2012,2419,89568130,100.0,6681677,1875780,83937
0100000US,,United States,,221210,Natural gas distribution,,804,4 largest firms,2012,383,17950484,20.0,1719227,524508,19371
0100000US,,United States,,221210,Natural gas distribution,,808,8 largest firms,2012,713,29858597,33.3,2736458,777048,31546
0100000US,,United States,,221210,Natural gas distribution,,820,20 largest firms,2012,1059,52641830,58.8,3835506,1085433,45197
0100000US,,United States,,221210,Natural gas distribution,,850,50 largest firms,2012,1689,78767058,87.9,5796858,1639046,71324
0100000US,,United States,,2213,"Water, sewage and other systems",,001,All firms,2012,4846,12243270,100.0,2304351,622553,45287
0100000US,,United States,,2213,"Water, sewage and other systems",,804,4 largest firms,2012,713,5245869,42.8,934428,285408,14939
0100000US,,United States,,2213,"Water, sewage and other systems",,808,8 largest firms,2012,779,6656629,54.4,1112941,328678,17366
0100000US,,United States,,2213,"Water, sewage and other systems",,820,20 largest firms,2012,1004,8184094,66.8,1347877,389499,21497
