GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQTR1,EMP
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Firm concentration code,Meaning of Firm concentration code,Year,Number of establishments,"Sales ($1,000)",Sales of largest firms as percent of total sales (%),"Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12
0100000US,,United States,72112,Casino hotels,804,4 largest firms,2012,69,18320009,34.3,4967230,1244231,146546
0100000US,,United States,72112,Casino hotels,808,8 largest firms,2012,76,24354148,45.6,6504124,1657837,182456
0100000US,,United States,72112,Casino hotels,820,20 largest firms,2012,121,33381882,62.5,8459006,2145666,245733
0100000US,,United States,72112,Casino hotels,850,50 largest firms,2012,172,42893314,80.3,10586920,2680307,314660
0100000US,,United States,721120,Casino hotels,001,All firms,2012,358,53410351,100.0,13378596,3358432,414420
0100000US,,United States,721120,Casino hotels,804,4 largest firms,2012,69,18320009,34.3,4967230,1244231,146546
0100000US,,United States,721120,Casino hotels,808,8 largest firms,2012,76,24354148,45.6,6504124,1657837,182456
0100000US,,United States,721120,Casino hotels,820,20 largest firms,2012,121,33381882,62.5,8459006,2145666,245733
0100000US,,United States,721120,Casino hotels,850,50 largest firms,2012,172,42893314,80.3,10586920,2680307,314660
0100000US,,United States,72119,Other traveler accommodation,001,All firms,2012,4388,1746811,100.0,434087,86963,23685
0100000US,,United States,72119,Other traveler accommodation,804,4 largest firms,2012,28,83568,4.8,24543,5701,1156
0100000US,,United States,72119,Other traveler accommodation,808,8 largest firms,2012,44,121921,7.0,35979,8125,1562
0100000US,,United States,72119,Other traveler accommodation,820,20 largest firms,2012,63,193296,11.1,55054,12185,2143
0100000US,,United States,72119,Other traveler accommodation,850,50 largest firms,2012,100,299191,17.1,85105,18467,3394
0100000US,,United States,721191,Bed-and-breakfast inns,001,All firms,2012,3004,1044042,100.0,264022,53958,15740
0100000US,,United States,721191,Bed-and-breakfast inns,804,4 largest firms,2012,23,40504,3.9,10066,2071,378
0100000US,,United States,721191,Bed-and-breakfast inns,808,8 largest firms,2012,27,59503,5.7,14260,3024,574
0100000US,,United States,721191,Bed-and-breakfast inns,820,20 largest firms,2012,44,97867,9.4,27297,5983,1238
0100000US,,United States,721191,Bed-and-breakfast inns,850,50 largest firms,2012,75,165755,15.9,49637,10355,2235
0100000US,,United States,721199,All other traveler accommodation,001,All firms,2012,1384,702769,100.0,170065,33005,7945
0100000US,,United States,721199,All other traveler accommodation,804,4 largest firms,2012,22,78518,11.2,24778,5768,1130
0100000US,,United States,721199,All other traveler accommodation,808,8 largest firms,2012,26,110410,15.7,35098,7958,1442
0100000US,,United States,721199,All other traveler accommodation,820,20 largest firms,2012,43,164778,23.4,50089,10783,1882
0100000US,,United States,721199,All other traveler accommodation,850,50 largest firms,2012,76,250314,35.6,68235,14563,2541
0100000US,,United States,7212,RV (recreational vehicle) parks and recreational camps,001,All firms,2012,7414,4838704,100.0,1219751,204362,40561
0100000US,,United States,7212,RV (recreational vehicle) parks and recreational camps,804,4 largest firms,2012,159,272081,5.6,63743,14293,2687
0100000US,,United States,7212,RV (recreational vehicle) parks and recreational camps,808,8 largest firms,2012,175,386134,8.0,93732,19671,3292
0100000US,,United States,7212,RV (recreational vehicle) parks and recreational camps,820,20 largest firms,2012,214,555168,11.5,136241,26923,4306
0100000US,,United States,7212,RV (recreational vehicle) parks and recreational camps,850,50 largest firms,2012,288,842110,17.4,210922,39171,6642
0100000US,,United States,72121,RV (recreational vehicle) parks and recreational camps,001,All firms,2012,7414,4838704,100.0,1219751,204362,40561
0100000US,,United States,72121,RV (recreational vehicle) parks and recreational camps,804,4 largest firms,2012,159,272081,5.6,63743,14293,2687
0100000US,,United States,72121,RV (recreational vehicle) parks and recreational camps,808,8 largest firms,2012,175,386134,8.0,93732,19671,3292
0100000US,,United States,72121,RV (recreational vehicle) parks and recreational camps,820,20 largest firms,2012,214,555168,11.5,136241,26923,4306
0100000US,,United States,72121,RV (recreational vehicle) parks and recreational camps,850,50 largest firms,2012,288,842110,17.4,210922,39171,6642
0100000US,,United States,721211,RV (recreational vehicle) parks and campgrounds,001,All firms,2012,4422,2367002,100.0,495195,90023,19747
0100000US,,United States,721211,RV (recreational vehicle) parks and campgrounds,804,4 largest firms,2012,141,246437,10.4,58004,13185,2481
0100000US,,United States,721211,RV (recreational vehicle) parks and campgrounds,808,8 largest firms,2012,157,309167,13.1,68286,15264,2863
0100000US,,United States,721211,RV (recreational vehicle) parks and campgrounds,820,20 largest firms,2012,199,437749,18.5,98805,19964,3723
0100000US,,United States,721211,RV (recreational vehicle) parks and campgrounds,850,50 largest firms,2012,254,610889,25.8,133976,26368,4953
0100000US,,United States,721214,Recreational and vacation camps (except campgrounds),001,All firms,2012,2992,2471702,100.0,724556,114339,20814
0100000US,,United States,721214,Recreational and vacation camps (except campgrounds),804,4 largest firms,2012,38,136675,5.5,34795,5846,676
0100000US,,United States,721214,Recreational and vacation camps (except campgrounds),808,8 largest firms,2012,46,193009,7.8,49914,8308,1003
0100000US,,United States,721214,Recreational and vacation camps (except campgrounds),820,20 largest firms,2012,70,326726,13.2,92963,16223,2184
0100000US,,United States,721214,Recreational and vacation camps (except campgrounds),850,50 largest firms,2012,117,510115,20.6,147520,24590,3972
0100000US,,United States,7213,Rooming and boarding houses,001,All firms,2012,2130,1347371,100.0,217666,55024,11921
0100000US,,United States,7213,Rooming and boarding houses,804,4 largest firms,2012,21,282394,21.0,31828,7430,670
0100000US,,United States,7213,Rooming and boarding houses,808,8 largest firms,2012,71,379307,28.2,41281,9682,1105
0100000US,,United States,7213,Rooming and boarding houses,820,20 largest firms,2012,113,523957,38.9,73251,17307,2563
0100000US,,United States,7213,Rooming and boarding houses,850,50 largest firms,2012,167,654888,48.6,97094,22906,3620
0100000US,,United States,72131,Rooming and boarding houses,001,All firms,2012,2130,1347371,100.0,217666,55024,11921
0100000US,,United States,72131,Rooming and boarding houses,804,4 largest firms,2012,21,282394,21.0,31828,7430,670
0100000US,,United States,72131,Rooming and boarding houses,808,8 largest firms,2012,71,379307,28.2,41281,9682,1105
0100000US,,United States,72131,Rooming and boarding houses,820,20 largest firms,2012,113,523957,38.9,73251,17307,2563
0100000US,,United States,72131,Rooming and boarding houses,850,50 largest firms,2012,167,654888,48.6,97094,22906,3620
0100000US,,United States,721310,Rooming and boarding houses,001,All firms,2012,2130,1347371,100.0,217666,55024,11921
0100000US,,United States,721310,Rooming and boarding houses,804,4 largest firms,2012,21,282394,21.0,31828,7430,670
0100000US,,United States,721310,Rooming and boarding houses,808,8 largest firms,2012,71,379307,28.2,41281,9682,1105
